ID,Symbol,Name,Sector,Industry,Full Time Employees,CEO,Address,Description
51,NVDA,Nvidia Corp,Technology,Semiconductors,13277,Jen-Hsun Huang,"2788 San Tomas Expressway
Santa Clara, CA 95051
United States","NVIDIA Corporation operates as a visual computing company worldwide. It operates in two segments, GPU and Tegra Processor. The GPU segment offers processors, which include GeForce for PC gaming and mainstream PCs; GeForce NOW for cloud-based game-streaming service; Quadro for design professionals working in computer-aided design, video editing, special effects, and other creative applications; Tesla for artificial intelligence (AI) utilizing deep learning, accelerated computing, and general purpose computing; GRID, which provides power of NVIDIA graphics through the cloud and datacenters; DGX for AI scientists, researchers, and developers; and cryptocurrency-specific graphics processing units. The Tegra Processor segment provides processors that are primarily designed to enable branded platforms - DRIVE and SHIELD; DRIVE AGX automotive computers and software stacks, which offer self-driving capabilities; Clara AGX for intelligent medical instruments; SHIELD devices and services designed for mobile-cloud in home entertainment, AI, and gaming applications; and Jetson AGX, an AI computing platform for robotics and other embedded use. The company's products are used in gaming, professional visualization, datacenter, and automotive markets. NVIDIA Corporation sells its products to original equipment manufacturers, original device manufacturers, system builders, add-in board manufacturers, retailers/distributors, Internet and cloud service providers, automotive manufacturers and tier-1 automotive suppliers, mapping companies, start-ups, and other ecosystem participants. The company has an alliance with Red Hat, Inc.; a technology collaboration with Microsoft Corp.; and a collaboration with Ericsson. NVIDIA Corporation was founded in 1993 and is headquartered in Santa Clara, California."
52,ORCL,Oracle Corp,Technology,Software - Infrastructure,136000,Lawrence J. Ellison,"500 Oracle Parkway
Redwood Shores, CA 94065
United States","Oracle Corporation provides products and services that address enterprise information technology environments worldwide. The company's cloud and license business engages in the sale, marketing, and delivery of its applications and infrastructure technologies through cloud and on-premise deployment models, including cloud services and license support; and cloud license and on-premise license. Its Software as a Service offerings include a suite of cloud software applications, including enterprise resource planning, human capital management, customer experience, and supply chain management, among others, as well as cloud-based industry solutions. The company also provides cloud Infrastructure as a Service; enterprise database; database products, including MySQL, Oracle TimesTen In-Memory Database, Oracle Berkeley DB, and Oracle NoSQL Database; middleware software; Java; server and storage products; hardware products and services comprising point-of-sale terminals and related hardware for managing businesses within the food and beverage, hotel and retail industries; and hardware products and services for communications networks, including network signaling, policy control and subscriber data management solutions, and session border control technology, among others. In addition, it offers operating systems, including Oracle Linux and Oracle Solaris, virtualization software, and other hardware-related software; management technologies and products, such as Oracle Enterprise Manager; and product repairs, maintenance services, and technical support services. It also serves government agencies and educational institutions. The company was founded in 1977 and is headquartered in Redwood Shores, California."
53,PAYX,Paychex Inc,Industrials,Business Services,15600,Martin Mucci,"911 Panorama Trail South
Rochester, NY 14625
United States","Paychex, Inc. provides integrated human capital management solutions for payroll, benefits, human resource (HR), retirement, and insurance services for small- to medium-sized businesses in the United States and Europe. The company offers payroll processing services; payroll tax administration services; employee payment services; and regulatory compliance services, such as new-hire reporting and garnishment processing. It also provides HR outsourcing services, including payroll, employer compliance, HR and employee benefits administration, risk management outsourcing, and the on-site availability of a professionally trained HR representative; and retirement services administration, including plan implementation, ongoing compliance with government regulations, employee and employer reporting, participant and employer online access, electronic funds transfer, and other administrative services. In addition, the company offers cloud-based HR administration software products for employee benefits management and administration, time and attendance, recruiting, and onboarding solutions; various accounting and financial services to small to medium-sized businesses comprising payroll funding and outsourcing services, which include payroll processing, invoicing, and tax preparation; and various services, such as payment processing services, financial fitness programs, and a small-business loan resource center. Further, it provides insurance services for property and casualty coverage, such as workers' compensation, business-owner policies, and commercial auto, as well as health and benefits coverage, including health, dental, vision, and life; and state unemployment insurance services, which allows clients with prompt processing for all claims, appeals, determinations, change statements, and requests for separation documents. The company markets its products and services through direct sales force. Paychex, Inc. was founded in 1979 and is headquartered in Rochester, New York."
54,PYPL,Paypal Holdings,Financial Services,Credit Services,21800,Daniel H. Schulman,"2211 North First Street
San Jose, CA 95131
United States","PayPal Holdings, Inc. operates as a technology platform and digital payments company that enables digital and mobile payments on behalf of consumers and merchants worldwide. Its payment solutions include PayPal, PayPal Credit, Braintree, Venmo, Xoom, and iZettle products. The company's Payments Platform allows consumers to send payments, withdraw funds to their bank accounts, and hold balances in their PayPal accounts in various currencies. It also offers gateway services that enable merchants to accept payments online with credit or debit cards. PayPal Holdings, Inc. was founded in 1998 and is headquartered in San Jose, California."
55,QCOM,Qualcomm Inc,Technology,Semiconductors,35400,Steven M. Mollenkopf,"5775 Morehouse Drive
San Diego, CA 92121
United States","QUALCOMM Incorporated designs, develops, manufactures, and markets digital communication products worldwide. It operates through three segments: Qualcomm CDMA Technologies (QCT); Qualcomm Technology Licensing (QTL); and Qualcomm Strategic Initiatives (QSI). The QCT segment develops and supplies integrated circuits and system software based on code division multiple access (CDMA), orthogonal frequency division multiple access, and other technologies for use in wireless voice and data communications, networking, application processing, multimedia, and global positioning system products. The QTL segment grants licenses or provides rights to use portions of its intellectual property portfolio, which include various patent rights useful in the manufacture and sale of wireless products comprising products implementing CDMA2000, wideband CDMA, CDMA time division duplex, long term evolution, and/or fifth generation standards and their derivatives. The QSI segment invests in early-stage companies in various industries, including automotive, Internet of things, mobile, data center, and healthcare for supporting the design and introduction of new products and services for voice and data communications, and new industry segments. The company also provides products and services for mobile health; products designed for the implementation of small cells; development, and other services and related products to the United States government agencies and their contractors; and software products, and content and push-to-talk enablement services to wireless operators. In addition, it licenses chipset technology, and products and services for use in data centers. QUALCOMM Incorporated was founded in 1985 and is headquartered in San Diego, California."
56,QRVO,Qorvo Inc,Technology,Semiconductors,8100,Robert A. Bruggeworth,"7628 Thorndike Road
Greensboro, NC 27409
United States","Qorvo, Inc. provides radio frequency (RF) solutions and technologies for smartphones and other mobile devices, defense and aerospace, Wi-Fi customer premises equipment, cellular base stations, and Internet of Things applications (IoT) worldwide. The company operates in two segments, Mobile Products, and Infrastructure and Defense Products. Its products and technologies help people in connecting with each other, accessing broadband data and critical networks, transacting mobile commerce, and interacting through social media. The company offers filters, duplexers, switches, multimode/multi-band power amplifiers and transmit modules, RF power management integrated circuits, antenna switch modules, antenna tuners, antennaplexers, and modules incorporating power amplifiers (PAs) and duplexers, as well as modules incorporating switches, PAs, and duplexers for use in mobile devices. It also provides integrated solutions that include switch-LNA modules, variable gain amplifiers, and integrated PA Doherty modules for massive multiple-input/multiple-output systems; technologies for high-power phased array radar, electronic warfare, and communications systems, as well as compound semiconductor foundry services; Wi-Fi customer premises equipment, including routers, gateways, set-top boxes, and enterprise infrastructure; silicon complementary metal oxide semiconductor system-on-a-chip hardware, firmware, and application software that enable equipment manufacturers to develop smart home products; and automotive RF connectivity products. In addition, it offers optical modulator drivers and trans-impedance amplifiers for use in broadband cable, point-to-point radio, and very small aperture terminal applications. The company sells its products directly to original equipment manufacturers and original design manufacturers, as well as through a network of sales representative firms and distributors. Qorvo, Inc. was founded in 1991 and is headquartered in Greensboro, North Carolina."
57,SNPS,Synopsys Inc,Technology,Software - Application,13245,Aart J. de Geus,"690 East Middlefield Road
Mountain View, CA 94043
United States","Synopsys, Inc. provides electronic design automation software products used to design and test integrated circuits (ICs). It offers Fusion Design Platform, a digital design implementation solution; Verification Continuum Platform that provides virtual prototyping, static and formal verification, simulation, emulation, field-programmable gate array (FPGA)-based prototyping, and debug solutions; and FPGA design products that are programmed to perform specific functions. The company also offers intellectual property (IP) solutions for USB, PCI Express, DDR, Ethernet, SATA, MIPI, HDMI, and Bluetooth low energy applications; analog IP, including data converters and audio codecs; and system-on-chip infrastructure IP, datapath and building block IP, and verification IP products, as well as mathematical and floating point components, and ARM AMBA interconnect fabric and peripherals. In addition, it provides logic libraries and embedded memories; configurable processor cores and application-specific instruction-set processor tools for embedded applications; IP subsystems for audio, sensor, and data fusion functionality; and security IP solutions. Further, the company offers Platform Architect tools for SoC architecture analysis and optimization; virtual prototyping solutions; and HAPS FPGA-based prototyping systems, as well as a series of tools used in the design of optical systems and photonic devices. Additionally, it provides security testing, managed services, programs and professional services, and training that enable its customers to detect and remediate defects in the software development lifecycle; manufacturing solutions for semiconductor manufacturers; and professional and other services. Synopsys, Inc. has collaboration agreement with Palma Ceia SemiDesign, Inc.; Elektrobit; Ixia; and TSMC. The company was founded in 1986 and is headquartered in Mountain View, California."
58,STX,Seagate Technology plc ,Technology,Data Storage,40500,William David Mosley,"38/39 Fitzwilliam Square
Dublin 2
Ireland","Seagate Technology plc provides data storage technology and solutions in Singapore, the United States, the Netherlands, and internationally. The company manufactures and distributes hard disk drives; solid state drives (SSDs), including serial attached small computer system interface and non-volatile memory express SSDs; solid state hybrid drives; and storage subsystems. Its products are used in enterprise servers and storage systems; edge non-compute applications, such as various end user devices comprising portable external storage systems, surveillance systems, network-attached storages, digital video recorders, and gaming consoles; and edge compute applications primarily for desktop and mobile computing, as well as data centers. It also provides enterprise data solutions portfolio comprising storage subsystems for enterprises, cloud service providers, and scale-out storage servers and original equipment manufacturers (OEMs). In addition, the company offers external storage solutions under the Seagate Backup Plus and Expansion product lines, as well as under the LaCie and Maxtor brands in capacities up to 168TB. It sells its products primarily to OEMs, distributors, and retailers. The company was founded in 1979 and is headquartered in Dublin, Ireland."
59,SWKS,Skyworks Solutions Inc,Technology,Semiconductors,9400,Liam K. Griffin,"20 Sylvan Road
Woburn, MA 01801
United States","Skyworks Solutions, Inc., together with its subsidiaries, designs, develops, manufactures, and markets proprietary semiconductor products, including intellectual property worldwide. Its product portfolio includes amplifiers, antenna tuners, attenuators, circulators/isolators, DC/DC converters, demodulators, detectors, diodes, directional couplers, diversity receive modules, filters, front-end modules, hybrids, LED drivers, low noise amplifiers, mixers, modulators, optocouplers/optoisolators, phase locked loops, phase shifters, power dividers/combiners, receivers, switches, synthesizers, technical ceramics, voltage controlled oscillators/synthesizers, and voltage regulators. The company provides its products for use in the aerospace, automotive, broadband, cellular infrastructure, connected home, industrial, medical, military, smartphone, tablet, and wearable markets. It sells its products through direct sales force, electronic component distributors, and independent sales representatives. Skyworks Solutions, Inc. has a collaboration agreement with MediaTek Incorporated to deliver standards-based 5G solution. The company was founded in 1962 and is headquartered in Woburn, Massachusetts."
60,TEL,Te Connectivity Ltd,Technology,Electronic Components,80000,Terrence R. Curtin CPA,"Rheinstrasse 20
Schaffhausen 8200
Switzerland","TE Connectivity Ltd., together with its subsidiaries, manufactures and sells connectivity and sensors solutions in Europe, the Middle East, Africa, the Asia–Pacific, and the Americas. The company operates through three segments: Transportation Solutions, Industrial Solutions, and Communications Solutions. The Transportation Solutions segment provides terminals and connector systems and components, sensors, antennas, relays, application tooling, wires, and heat shrink tubing products for use in the automotive, commercial transportation, and sensor markets. The Industrial Solutions segment offers terminals and connector systems and components; heat shrink tubing; relays; and wires and cables for industrial equipment, aerospace, defense, oil and gas, and energy markets. The Communications Solutions segment supplies electronic components, such as terminals and connector systems and components, relays, heat shrink tubing, and antennas for the data and devices, and appliances markets. TE Connectivity Ltd. sells its products to approximately 140 countries primarily through direct selling to manufacturers, as well as through third-party distributors and online. The company was formerly known as Tyco Electronics Ltd. and changed its name to TE Connectivity Ltd. in March 2011. TE Connectivity Ltd. was incorporated in 2000 and is based in Schaffhausen, Switzerland."
61,TXN,Texas Instruments Inc,Technology,Semiconductors,30000,Richard K. Templeton,"12500 TI Boulevard
Dallas, TX 75243
United States","Texas Instruments Incorporated designs, manufactures, and sells semiconductors to electronics designers and manufacturers worldwide. It operates in two segments, Analog and Embedded Processing. The Analog segment offers power products to manage power requirements in various levels using battery management solutions, portable components, power supply controls, point-of-load products, switches and interfaces, integrated protection devices, high-voltage products, and mobile lighting and display products. This segment also provides signal chain products that sense, condition, and measure signals to allow information to be transferred or converted for further processing and control for use in amplifier, data converter, interface product, motor drive, clock, and sensing product end-markets; and integrated analog and standard products, which are primarily for sale into personal electronics, industrial, and automotive markets. The Embedded Processing segment offers connected microcontrollers, such as microcontrollers, microcontrollers with integrated wireless capabilities, and stand-alone wireless connectivity solutions that are used in electronic equipment to sense, connect, log, and transfer data; digital signal processors for mathematical computations; and applications processors for specific computing activity. This segment offers products for use in various markets, principally industrial and automotive. The company also provides DLP products, primarily for use in projectors to create high-definition images; calculators; and application-specific integrated circuits. Texas Instruments Incorporated markets and sells its semiconductor products through direct sales and distributors, as well as online. The company was founded in 1930 and is headquartered in Dallas, Texas."
62,V,Visa Inc,Financial Services,Credit Services,17000,Alfred Francis Kelly Jr.,"PO Box 8999
San Francisco, CA 941282-8999
United States","Visa Inc. operates as a payments technology company worldwide. The company facilitates commerce through the transfer of value and information among consumers, merchants, financial institutions, businesses, strategic partners, and government entities. It operates VisaNet, a processing network that enables authorization, clearing, and settlement of payment transactions; and offers fraud protection for account holders and assured payment for merchants. In addition, the company offers card products, as well as value-added services. It provides its services under the Visa, Visa Electron, Interlink, V PAY, and PLUS brands. Visa Inc. was founded in 1970 and is headquartered in San Francisco, California."
63,VRSN,Verisign Inc,Technology,Internet Content & Information,900,D. James Bidzos,"12061 Bluemont Way
Reston, VA 20190
United States","VeriSign, Inc. provides domain name registry services and Internet infrastructure that enables Internet navigation for various recognized domain names worldwide. It enables the security, stability, and resiliency of Internet infrastructure and services, including providing root zone maintainer services, operating two of the 13 Internet root servers; and offering registration services and authoritative resolution for the .com and .net domains, which support global e-commerce. VeriSign, Inc. was founded in 1995 and is headquartered in Reston, Virginia."
64,WDC,Western Digital Corporation,Technology,Data Storage,61800,Stephen D. Milligan,"5601 Great Oaks Parkway
San Jose, CA 95119
United States","Western Digital Corporation develops, manufactures, and sells data storage devices and solutions worldwide. It offers client devices, including hard disk drives (HDDs) and solid state drives (SSDs) for computing devices, such as desktop and notebook personal computers (PCs), security surveillance systems, gaming consoles, and set top boxes; flash-based embedded storage products for mobile phones, tablets, notebook PCs, and other portable and wearable devices, as well as automotive, Internet of Things, industrial, and connected home applications; flash-based memory wafers; and embedded storage solutions and flash products, such as multi-chip package solutions. The company also provides data center devices and solutions comprising enterprise helium hard drives; enterprise SSDs consisting of flash-based SSDs and software solutions for use in enterprise servers, online transactions, data analysis, and other enterprise applications; data center solutions, including HDDs and drive configurations for use in data storage systems and tiered storage models; system solutions that offer petabyte scalable capacity; and data storage platforms and systems. In addition, it offers client solutions, such as external HDD storage products in mobile and desktop form; client SSDs; removable cards that are used in consumer devices comprising mobile phones, tablets, imaging systems, still and action video cameras, and security surveillance systems; universal serial bus flash drives for use in the computing and consumer markets; and wireless drive products used in-field back up of created content, as well as wireless streaming of high-definition movies, photos, music, and documents to tablets, smartphones, and PCs. The company sells its products under the HGST, SanDisk, and WD brands to original equipment manufacturers, distributors, resellers, cloud infrastructure players, and retailers. Western Digital Corporation was founded in 1970 and is headquartered in San Jose, California."
65,WU,Western Union Company,Financial Services,Credit Services,12000,Hikmet Ersek,"7001 East Belleview Avenue
Denver, CO 80237
United States","The Western Union Company provides money movement and payment services worldwide. The company operates in two segments, Consumer-to-Consumer and Business Solutions. The Consumer-to-Consumer segment facilitates money transfers between two consumers, primarily through a network of third-party agents. This segment offers international cross-border transfers and intra-country transfers, as well as money transfer transactions through Websites and mobile devices. The Business Solutions segment provides payment and foreign exchange solutions, primarily cross-border and cross-currency transactions for small and medium size enterprises, other organizations, and individuals; and foreign currency forward and option contracts. The company also facilitates bill payments from consumers to businesses and other organizations, as well as offers money order and other services. It serves primarily through a network of agents. The Western Union Company was founded in 1851 and is headquartered in Denver, Colorado."
66,XLNX,Xilinx Inc,Technology,Semiconductors,4433,Victor Peng,"2100 Logic Drive
San Jose, CA 95124
United States","Xilinx, Inc. designs and develops programmable devices and associated technologies worldwide. The company offers integrated circuits (ICs) in the form of programmable logic devices (PLDs), such as programmable system on chips, and three dimensional ICs; adaptive compute acceleration platform; software design tools to program the PLDs; software development environments and embedded platforms; targeted reference designs; printed circuit boards; and intellectual property (IP) core licenses covering Ethernet, memory controllers, Interlaken, and peripheral component interconnect express interfaces, as well as domain-specific IP in the areas of embedded, digital signal processing and connectivity, and market-specific IP cores. It also offers development boards; development kits, including hardware, design tools, IP, and reference designs that are designed to streamline and accelerate the development of domain-specific and market-specific applications; and configuration products comprising one-time programmable and in-system programmable storage devices to configure field programmable gate arrays. In addition, it provides design, customer training, field engineering, and technical support services. The company offers its products to electronic equipment manufacturers in sub-segments, such as data center, wireless, wireline, aerospace and defense, test and measurement, industrial, scientific and medical, automotive, audio, video and broadcast, and consumer. It sells its products through a network of independent distributors; and through direct sales to original equipment manufacturers and electronic manufacturing service providers, as well as independent sales representatives. Xilinx, Inc. was founded in 1984 and is headquartered in San Jose, California."
67,XRX,Xerox Holdings Corporation,Technology,Information Technology Services,27600,Giovanni G. Visentin,"201 Merritt 7
PO Box 4505
Norwalk, CT 06851
United States","Xerox Holdings Corporation designs, develops, and sells document management systems and solutions worldwide. It offers intelligent workplace services, including managed print services; digitization services; and digital solutions that leverage workflow automation, personalization and communication software, and content management. The company also provides desktop monochrome and color printers, and multifunction printers; copiers, digital printing presses and light production devices, and solutions; graphic communications and commercial printers; inkjet presses; and FreeFlow portfolio of software solutions for the automation and integration of print jobs processing. In addition, it sells paper products, wide-format systems, and network integration solutions. The company sells its products and services directly to its customers through sales force, as well as through independent agents, dealers, value-added resellers, systems integrators, and the Web. Xerox Holdings Corporation was founded in 1906 and is based in Norwalk, Connecticut."
